category,skill,definition,example,comments,status,added by
reasoning,self serving bias,A cognitive or perceptual process that is distorted by the need to maintain and enhance one’s self esteem.,"""If I do well on the exam, it’s because of my academic prowess and hard work. If I do poorly, it’s because the course was poorly taught, and the exam was poorly proctored.""",seems hard to test,keep,
rhetorical,accident (fallacy),an informal fallacy and a deductively valid but unsound argument occurring in a statistical syllogism (an argument based on a generalization) when an exception to a rule of thumb is ignored. ,Cutting people with knives is a crime. Surgeons cut people with knives. Surgeons are criminals.,checked,,
rhetorical,complex question (loaded question with implicit assumption ),A question that is loaded with an implicit assumption.,"""Why are you lying to me?"" is a question that presupposes you are lying to me. Any answer you give will force you to agree you are lying.",checked,,
rhetorical,red herring,Introducing irrelevant points to detract attention from a question.,"A member of the press asks the president why they voted to expand a welfare program. The president responds, ""The strength of America is the strength of its communities, and I am proud to make our communities better places.""",checked,,
literary,metaphor,"a figure of speech that, for rhetorical effect, directly refers to one thing by mentioning another.","""All the world’s a stage, And all the men and women merely players"" is a metaphor because it’s a comparison without using ""like"" or ""as.""",checked,,
logical,spatial reasoning,The capacity to reason about the spatial relationships between objects.,"The key fit into the box. Using spatial reasoning, one can deduce that the width of the key was smaller than the width of the box.",checked,,
logical,modus ponens,A syllogism that is of the form “If P then Q. P. Hence Q.”,"""If today is Tuesday, then John will go to work. Today is Tuesday. Therefore, John will go to work.""",checked,,
logical,statistical syllogism,"A syllogism that argues, using inductive reasoning, from a generalization true for the most part to a particular case.","""Almost all people are taller than 26 inches. Gareth is a person. Therefore, Gareth is taller than 26 inches.""",checked,keep,jonah
theory of the mind,emotional self regulation,"a complex process that involves initiating, inhibiting, or modulating one's state or behavior in a given situation.","Examples of emotional self regulation include meditating, pausing to collect oneself before speaking, and practicing stress management.",checked,,
physical knowledge,folk physics (common knowledge physics),The untrained human perception of basic physical phenomena.,"""If I roll the pen off of the table, it will fall to the floor.""",(Naive or folk physics on Wiki),,
